gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
919322462		NCSM 2849 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection	EN	http://creativecommons.org/publicdomain/zero/1.0/	2019-10-03			North Carolina Museum of Natural Sciences	Physical Object	NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				B3F08A56-99B4-493E-A1F5-E4CE8A62F261	2849		Vince Schneider																skeleton																														06/16/1978											North America				United States		North Carolina	Pitt County																																																								Vince Schneider		1987,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			Species							
919322378		NCSM 2779 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection	EN	http://creativecommons.org/publicdomain/zero/1.0/	2019-10-03			North Carolina Museum of Natural Sciences	Physical Object	NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				B6A1542C-F356-4B02-9DEA-EDCAC74AD770	2779		Vince Schneider																skeleton																														08/06/1987											North America				United States		South Carolina	Horry County																																					Cenozoic	Cenozoic	Quaternary	Quaternary	Pleistocene	Pleistocene							Canepatch FM							Vince Schneider		1987,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			Species							
919321147		NCSM 1498 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection	EN	http://creativecommons.org/publicdomain/zero/1.0/	2019-10-03			North Carolina Museum of Natural Sciences	Physical Object	NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				C3CDEF4E-879F-4BCA-B777-F574E12E079F	1498		Horace Richards																skeleton								See Davis notes drawer 32#8																						05/30/1941											North America				United States		North Carolina	Columbus County																																					Cenozoic	Cenozoic	Neogene	Neogene	Pliocene	Pliocene							Duplin FM							Vince Schneider		1986,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			Species							
919321146		NCSM 1499 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection	EN	http://creativecommons.org/publicdomain/zero/1.0/	2019-10-03			North Carolina Museum of Natural Sciences	Physical Object	NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				2B25221B-4D3F-47EE-9691-ED529F2C1C20	1499		Horace Richards																skeleton								See Davis notes drawer 32#8																						05/30/1941											North America				United States		North Carolina	Columbus County																																					Cenozoic	Cenozoic	Neogene	Neogene	Pliocene	Pliocene							Duplin FM							Vince Schneider		1986,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			Species							
919321122		NCSM 1497 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection	EN	http://creativecommons.org/publicdomain/zero/1.0/	2019-10-03			North Carolina Museum of Natural Sciences	Physical Object	NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				94B817F0-2B9E-4AB7-A404-C38260BE076D	1497		Horace Richards																skeleton								See Davis notes drawer 32#8																						05/30/1941											North America				United States		North Carolina	Columbus County																																					Cenozoic	Cenozoic	Neogene	Neogene	Pliocene	Pliocene							Duplin FM							Vince Schneider		1986,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			Species							
899943805				http://creativecommons.org/licenses/by-nc/4.0/	2017-09-25T19:40:13Z		https://www.inaturalist.org/observations/494840	Stephanie Marsh					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/494840	494840		Stephanie Marsh																																							2014-01-04							2014-01-04																US	Texas				Galveston, Texas												29.196377	-94.947324	EPSG:4326	231																																		1133663				Gustav Paulay	https://orcid.org/0000-0003-4118-9797	2014-04-26T08:45:21Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
899641934					2024-10-29 11:30:20								UF	Invertebrate Zoology			PreservedSpecimen				8C1C0DB7-5AA3-4B84-A7F0-041F26AA8247	7751-Cnidaria		Bemis, Mandy; Moore, Jenna																75% ethanol - 9999; DNA subsample - 1																						MOOK-0135	2010-09-13															ed28c229-8d32-4de6-9725-1a0ae3329ca8		USA, Florida, Duval County	North America				USA		Florida	Duval County		off Jacksonville													30.4661600	-81.2887400	WGS84																																																					Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				poculata					(Ellis & Solander 1786)					
899637064					2021-04-27 19:07:52								UF	Invertebrate Zoology			PreservedSpecimen			project=TCN Digitization of Invertebrate Collections	96A68432-AF11-437A-831E-7E016D92CEDC	7596-Cnidaria																		dry - 1																						FLMNH Inv. Paleo. 12159																ecdfa29b-07cb-11e6-90fb-946024916d6e		USA, Florida, Collier County	North America				USA		Florida	Collier County		Marco																																																																				Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				poculata					(Ellis & Solander 1786)					
891090242				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-03T06:07:26Z		https://www.inaturalist.org/observations/104906	cyric					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/104906	104906		cyric						adult																		Some Northern Star Coral on the rocks of the Pt. Judith Harbor of Refuge breakwater.															2012-07-17							2012-07-17																US	Rhode Island				East Matunuck, RI												41.3712020031	-71.5160842793	EPSG:4326	106																																		154826				cyric		2012-07-24T01:57:17Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
864852663	Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj	Astrangia poculata (YPM IZ 066771)		http://creativecommons.org/publicdomain/zero/1.0/	2024-09-05T21:33:22.000Z		http://collections.peabody.yale.edu/search/Record/YPM-IZ-066771	Yale Peabody Museum				0	YPM	IZ		YPM	PreservedSpecimen			"{ ""irn"": ""1526651"", ""solr_long_lat"": ""-73.102919,41.155297"" }"	urn:uuid:c708f508-7ec8-4d69-a06c-2dace680379e	YPM IZ 066771		Strength in Numbers Workshop (2013)		1														dry	in collection							IZ number 66771; lot count 1					Astrangia poculata										2013-07-16				2013	7	16											North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; Fairfield County; Stratford	North America	Atlantic Ocean; Long Island Sound			USA		Connecticut	Fairfield County	Stratford	Stratford Point													41.155297	-73.102919	WGS84	1851													unspecified	unspecified	radius inferred 2024-01-04 from provided coordinates																																					Astrangia poculata							Animalia; Cnidaria; Anthozoa; Zoantharia; Scleractinia; Faviina; Faviicae; Rhizangiidae	Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				poculata			Species		(Ellis & Solander, 1786)	stony corals; zoanthids; stony corals and anemones; cnidarians; animals	ICZN			Animals and Plants: Invertebrates - Other
