gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
699109936					2024-12-20 16:16:45		http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:SCOR-211	President and Fellows of Harvard College		b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	IZ		Museum of Comparative Zoology, Harvard University	PreservedSpecimen				MCZ:IZ:SCOR-211	SCOR-211		Louis Agassiz	http://viaf.org/viaf/14832040	1												verified by MCZ collection	present	whole animal (70% ethanol)	in collection																						1847-01-01/1853-12-31		1		1847	1		1847-1853										Atlantic Ocean: Atlantic, Western Central: United States: South Carolina		Atlantic, Western Central			United States	US	South Carolina			Charleston	Charleston, S.C.												32.75479	-79.86714	EPSG:4326	8016	0.00001					decimal degrees					Penny Benson		GEOLocate	GEOLocate																								Caroline Fleming					Entered into Catalogue 31.i.1863 7 pieces, in ethanol Sampled for DNA 25.v.2001, Andrew Baker	urn:lsid:marinespecies.org:taxname:157967								Astrangia poculata (Ellis & Solander, 1786)							Animalia Cnidaria Anthozoa Hexacorallia Scleractinia Astrangiidae Astrangia poculata	Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia	Astrangia			poculata					(Ellis & Solander, 1786)		ICZN			
609467649				https://creativecommons.org/publicdomain/zero/1.0/						http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PreservedSpecimen				urn:catalog:CAS:IZ:171668	171668		M.K. Wicksten																Dry-dry(1)								previously identified as Astrangia astraeformis														068811	1998-03-17/19		76	78	1998	3	17	17-19 Mar 1998							donated along with Flower Garden Banks specimens.	06945c1c-2598-11ed-aace-005056be1b7a		North America, North Atlantic Ocean, Gulf of Mexico, United States, Florida	North America				United States		Florida	Lee County		Captiva Island, cast ashore																																																						M.K. Wicksten														Astrangia poculata							Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Rhizangiidae	Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				poculata			species		(Ellis & Solander, 1786)		ICZN			
609414258				https://creativecommons.org/publicdomain/zero/1.0/						http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PreservedSpecimen				urn:catalog:CAS:IZ:114031	114031		"Chris Mah aboard R/V ""Phillip Parker"""																Fluid-75% EtOH(1)																						051414	1998-08-18		230		1998	8	18	18 Aug 1998	oyster shells						Collected during 3rd North American Echinoderms Conference, Wallops Island, Virginia, 17-20, August 1998.	063e7362-2598-11ed-aace-005056be1b7a		North America, United States	North America				United States		Virginia			Wallops Island, Cockle Creek						3.0500000000																																																Chris Mah		1998-08-24												Astrangia danae							Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Rhizangiidae	Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			species		Agassiz, 1850		ICZN			
609383736				https://creativecommons.org/publicdomain/zero/1.0/						http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PreservedSpecimen				urn:catalog:CAS:IZ:99527	99527																		Dry-dry(1)								Spec. notes: many spec.														028062															"Label with ""197"""	05e6c575-2598-11ed-aace-005056be1b7a		North America, United States, Massachusetts	North America				United States		Massachusetts	Barnstable County		Cape Cod, Woods Hole, low tide																																																																				Astrangia danae							Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Rhizangiidae	Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			species		Agassiz, 1850		ICZN			
5008209838				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-22T00:23:14Z		https://www.inaturalist.org/observations/171144483	bassteeth					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 27785m at the request of the observer			https://www.inaturalist.org/observations/171144483	171144483		bassteeth																																							2023-07-03T16:19:37-04:00	16:19:37-04:00						2023-07-03 16:19:37-04:00																US	Rhode Island				Rhode Island, US												41.5500900227	-71.2831785402	EPSG:4326	27785																																		382223705				bassteeth		2023-07-05T02:48:13Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5008197158				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-22T00:22:19Z		https://www.inaturalist.org/observations/188829445	pcolarus					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/188829445	188829445		pcolarus																								DCIM\101GOPRO\GOPR6745.JPG															2023-10-24T12:02:00-04:00	12:02:00-04:00						2023/10/24 12:02 PM																US	Rhode Island				Jamestown, RI, USA												41.4785866166	-71.3600888267	EPSG:4326	8																																		420908424				Alex Shure		2023-10-24T23:27:25Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5007546030				http://creativecommons.org/licenses/by/4.0/	2025-01-03T14:47:08Z		https://www.inaturalist.org/observations/256802673	Mathew Zappa					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/256802673	256802673		Mathew Zappa																																							2024-12-30T15:00:49-05:00	15:00:49-05:00						2024-12-30 15:00:49-05:00																US	South Carolina				Hilton Head Island, Hilton Head Island, SC, US												32.244145	-80.6866916667	EPSG:4326	5																																		578644738				Mathew Zappa		2024-12-30T21:28:01Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5007445780				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-28T05:35:12Z		https://www.inaturalist.org/observations/256461748	char03					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/256461748	256461748		char03																																							2019-05-11T11:49:00-04:00	11:49:00-04:00						2019/05/11 11:49 AM																US	Florida				Amelia Island, Florida 32034, USA												30.6265697	-81.460856	EPSG:4326	9386																																		577769137				char03		2024-12-28T03:55:46Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5007398673				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-28T01:18:12Z		https://www.inaturalist.org/observations/256289133	Ben Horstmann					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/256289133	256289133		Ben Horstmann																																							2024-12-26T12:44:00-05:00	12:44:00-05:00						2024-12-26 12:44:00-05:00																US	Florida				Sanibel Island, Sanibel, FL, US												26.4390565592	-82.0407979487	EPSG:4326	21																																		577315081				Ben Horstmann		2024-12-26T17:44:13Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5007231131				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-28T00:55:28Z		https://www.inaturalist.org/observations/256289574	ranger_rock					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/256289574	256289574		ranger_rock																																							2024-12-26T12:48:33-05:00	12:48:33-05:00						2024-12-26 12:48:33-05:00																US	Florida				Sanibel Island, Sanibel, FL, US												26.4390301728	-82.0406882447	EPSG:4326	10																																		577316372				ranger_rock		2024-12-26T17:48:49Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5007187385				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-30T01:19:48Z		https://www.inaturalist.org/observations/254994483	Pete Steeves					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/254994483	254994483		Pete Steeves																																							2024-12-13T11:07:40-05:00	11:07:40-05:00						2024-12-13 11:07:40-05:00																US	Florida				Tween Waters Island Resort & Spa, Captiva, FL, US												26.5098903147	-82.1900349156	EPSG:4326	46																																		573631680				Pete Steeves		2024-12-13T16:07:55Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5007178804				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-22T00:16:16Z		https://www.inaturalist.org/observations/225950465	El Fernekees					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/225950465	225950465		El Fernekees																																							2024-06-28T14:04:34-04:00	14:04:34-04:00						2024-06-28 14:04:34-04:00																US	Rhode Island				Fort Cove, Jamestown, RI, US												41.4789166667	-71.357475	EPSG:4326	5																																		507556995				El Fernekees		2024-06-29T15:33:58Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5007144819				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-22T00:12:21Z		https://www.inaturalist.org/observations/252019718	Austin Bow					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/252019718	252019718		Austin Bow																								Observation made during a dusk dive at Fort Wetherill State Park in Rhode Island.															2024-11-16T13:58:01-05:00	13:58:01-05:00						2024-11-16 13:58:01																US	Rhode Island				Jamestown, RI 02835, USA												41.4787242816	-71.3616651669	EPSG:4326	33																																		565048515				Austin Bow		2024-11-17T14:32:31Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
5006889088				http://creativecommons.org/licenses/by-nc/4.0/	2024-12-17T21:04:02Z		https://www.inaturalist.org/observations/255034069	bev435					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/255034069	255034069		bev435																																							2024-12-08T16:19:00-05:00	16:19:00-05:00						2024/12/08 4:19 PM																US	Delaware				Sussex County, DE, USA												38.6073861641	-75.0603649657	EPSG:4326	15																																		573755127				bev435		2024-12-14T01:54:34Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
4982242600				http://creativecommons.org/licenses/by-nc/4.0/	2024-11-15T20:10:42Z		https://www.inaturalist.org/observations/249767665	Rene Kimray					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/249767665	249767665		Rene Kimray																																							2024-10-16							2024-10-16																US	South Carolina				St Helena Island, SC 29920, USA												32.3707666858	-80.4375198483	EPSG:4326	2686																																		558804491				Rene Kimray		2024-10-30T15:37:07Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
4982092588				http://creativecommons.org/licenses/by-nc/4.0/	2024-11-16T04:24:20Z		https://www.inaturalist.org/observations/240616176	Christopher Laszlo Bonis					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/240616176	240616176		Christopher Laszlo Bonis																																							2024-09-08T12:28:05-04:00	12:28:05-04:00						2024-09-08 12:28:05-04:00																US	Rhode Island				State Pier #9, Newport, RI, US												41.4894133333	-71.3206033333	EPSG:4326	43																																		564522923				El Fernekees		2024-11-15T22:08:10Z			Def this	94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
4979292781	http://www.vertnet.org/resources/norms.html			https://creativecommons.org/licenses/by/4.0/legalcode	2023-07-18T16:23:55			Bernice Pauahi Bishop Museum		urn:lsid:biocol.org:col:34697	http://grbio.org/cool/z8p4-k4k6		BPBM	SC	Bishop Museum Marine Invertebrates Specimens	BPBM	PreservedSpecimen				edfe4565-4b26-4cff-b5d6-8f40141687fc	356				1	1	individuals												1 dry	in collection																	3c2368f7-dd41-414d-bcc6-0c0e172980d9																						Atlantic Ocean | Northern Atlantic Ocean | Massachusetts | Massachusetts | Woods Hole; Vineyard Sound |		Atlantic Ocean		Massachusetts	Massachusetts					Woods Hole; Vineyard Sound	Atlantic Ocean; Northern Atlantic Ocean; Massachusetts; Massachusetts; Woods Hole; Vineyard Sound																																																																			Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			species	Species	Agassiz		ICZN			
4979291958	http://www.vertnet.org/resources/norms.html			https://creativecommons.org/licenses/by/4.0/legalcode	2023-07-18T16:23:55			Bernice Pauahi Bishop Museum		urn:lsid:biocol.org:col:34697	http://grbio.org/cool/z8p4-k4k6		BPBM	SC	Bishop Museum Marine Invertebrates Specimens	BPBM	PreservedSpecimen				927b2ace-5367-4e64-800d-ba8fe39a2c08	355				1	1	individuals												1 dry	in collection																	f53d9a9d-e961-424c-b5d9-c90d5b014705																						Atlantic Ocean | Northern Atlantic Ocean | Massachusetts | Massachusetts | Woods Hole; Vineyard Sound |		Atlantic Ocean		Massachusetts	Massachusetts					Woods Hole; Vineyard Sound	Atlantic Ocean; Northern Atlantic Ocean; Massachusetts; Massachusetts; Woods Hole; Vineyard Sound																																																																			Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			species	Species	Agassiz		ICZN			
4979269516	http://www.vertnet.org/resources/norms.html			https://creativecommons.org/licenses/by/4.0/legalcode	2023-07-18T16:23:55			Bernice Pauahi Bishop Museum		urn:lsid:biocol.org:col:34697	http://grbio.org/cool/z8p4-k4k6		BPBM	SC	Bishop Museum Marine Invertebrates Specimens	BPBM	PreservedSpecimen				fc7fc18f-f5e4-497d-8212-6a95ddf6ad05	357				1	1	individuals												1 dry	in collection																	f5e76a78-40e1-4257-9ea2-d3b3dcf8f602																						Atlantic Ocean | Northern Atlantic Ocean | Massachusetts | Massachusetts | Woods Hole; Vineyard Sound |		Atlantic Ocean		Massachusetts	Massachusetts					Woods Hole; Vineyard Sound	Atlantic Ocean; Northern Atlantic Ocean; Massachusetts; Massachusetts; Woods Hole; Vineyard Sound																																																																			Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia		Rhizangiidae				Astrangia				danae			species	Species	Agassiz		ICZN			
4978456302				http://creativecommons.org/licenses/by-nc/4.0/	2024-10-31T12:23:08Z		https://www.inaturalist.org/observations/206177958	gwt2102					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/206177958	206177958		gwt2102																																							2024-04-05T11:05:52-04:00	11:05:52-04:00						2024-04-05 11:05:52-04:00																US	Virginia				Chincoteague National Wildlife Refuge, VA, US												37.88702	-75.3441383333	EPSG:4326	3																																		468501852				gwt2102		2024-04-09T01:27:37Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia		Astrangiidae				Astrangia							species							
