dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/7wd1vk	b5cdf587-3342-48ec-9130-ba1281d7166f	The cnidarians collection (IK) of the Muséum national d'Histoire naturelle (MNHN - Paris)		2
10.15468/ab3s5x	50c9509d-22c7-4a22-a47d-8c48425ef4a7	iNaturalist Research-grade Observations		328
10.15468/jzgqtc	968dfa3e-3614-4bab-a3b5-e9209bdd6078	Ocean Genome Legacy Collection	Accession ID OGL-#####. The Ocean Genome Legacy Center. Northeastern University. Published on the web at ogl.northeastern.edu/catalog.	8
10.15468/5a75sk	91aa3d5b-6f77-4135-a823-cef438a60dfa	Référentiel taxonomique national (TAXREF) - Inventaire des Collectivités d'outre-mer et de la métropole (ICOM_15) issu des données biogéographiques de TAXREF v15		1
10.15468/nqheui	854bc2fc-f762-11e1-a439-00145eb45e9a	Invertebrate Paleontology Division, Yale Peabody Museum		1
10.15468/v6p9ba	4c7c21a8-68d3-49c5-b090-6b26259a291b	Naturalis Biodiversity Center (NL) - Cnidaria		9
10.15468/ipinim	87dbda50-7d25-47e9-a7df-e4d4951fe9e6	Cnidaria		34
10.5886/zh7n1e	34fbcf59-d9bb-47e7-9672-99e13ea8c736	Royal BC Museum - Invertebrates Collection	Wheeler E (2018): Royal BC Museum - Invertebrates Collection. v1.2. Royal British Columbia Museum. Dataset/Occurrence. https://doi.org/10.5886/zh7n1e	1
10.15468/qyr2yz	d9e3a5bc-3811-4811-a78c-77d78a2107d7	SDSM Invertebrate Collections	South Dakota School of Mines & Technology, Museum of Geology Paleontology Collections (SDSM)	14
10.15468/s6ctus	b929f23d-290f-4e85-8f17-764c55b3b284	Bernice P. Bishop Museum	Pyle R (2016). Bernice P. Bishop Museum. Version 8.1. Bernice Pauahi Bishop Museum. Occurrence Dataset https://doi.org/10.15468/s6ctus accessed via GBIF.org on 2017-05-31.	3
10.15468/thhw9c	1f2cfb6f-c91b-498e-80f3-8eeeec688292	Non-vertebrate Paleontology, Jackson School Museum of Earth History, University of Texas at Austin	Non-vertebrate Paleontology, Jackson School Museum of Earth History, University of Texas at Austin	1
10.15468/sbmztx	d8cd16ba-bb74-4420-821e-083f2bac17c2	INSDC Sequences		2
10.15468/jb9tdf	26098c25-8f7f-4c71-97ac-1d3db181c65e	NMNH Material Samples (USNM)	Orrell T, Informatics Office (2023). NMNH Material Samples (USNM). Version 1.50. National Museum of Natural History, Smithsonian Institution. Occurrence dataset https://doi.org/10.15468/jb9tdf accessed via GBIF.org on 2023-03-01.	10
10.15468/dfrwoh	16b0aa56-90aa-436c-bfe8-b5af83f84575	Biodiversity Research and Teaching Collections - TCWC Marine Invertebrates	Prestridge H (2016). Biodiversity Research and Teaching Collections - TCWC Marine Invertebrates. Version 5.1. Texas A&M University Biodiversity Research and Teaching Collections. Occurrence Dataset https://doi.org/10.15468/dfrwoh accessed via GBIF.org on 2017-05-31.	11
10.15468/0lkr3w	854e35e6-f762-11e1-a439-00145eb45e9a	Invertebrate Zoology Division, Yale Peabody Museum		59
10.15468/p5rupv	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	Museum of Comparative Zoology, Harvard University	Museum of Comparative Zoology, Harvard University (2016): Museum of Comparative Zoology, Harvard University.  Dataset/Occurrence. http://digir.mcz.harvard.edu/ipt/resource?r=mczbase doi:10.15468/p5rupv	30
10.15468/aqbftj	df8e3fb8-3da7-4104-a866-748f6da20a3c	NOAA Deep Sea Corals Research and Technology Program	Hourigan T (2020). NOAA Deep Sea Corals Research and Technology Program. Version 1.6. United States Geological Survey. Occurrence dataset https://doi.org/10.15468/aqbftj	193
