dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/hnhrg3	821cc27a-e3bb-4bc5-ac34-89ada245069d	NMNH Extant Specimen Records (USNM, US)	Orrell T,  (2023): NMNH Extant Specimen Records (USNM, US). v1.67. National Museum of Natural History, Smithsonian Institution. Dataset/Occurrence. https://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a&v=1.67	253
10.15468/bfd6ci	a0a4d131-f53f-43b2-a1ba-254473b8a006	Marine Invertebrate voucher specimens at the Florida Biodiversity Collection, Florida Fish and Wildlife Conservation Commission		82
10.15468/v2eq9j	fbaa63e3-945b-43d9-920b-812215a5bb1f	Southern Maine Community College Gulf of Maine Invertebrate Data		2
10.36102/dwc.4	bea28c6b-4282-4e0e-894d-7c65d050ffa9	NCSM Invertebrate Paleontology Collection	Kammerer C, Weaver P, Norton B (2016): NCSM Invertebrate Paleontology Collection. North Carolina State Museum of Natural Sciences. Dataset/Occurrence. http://ipt.vertnet.org:8080/ipt/resource?r=ncsm_invertpaleo. https://doi.org/10.36102/dwc.4	5
10.15468/tiac99	44bcde48-ac71-46f2-bf73-24fc3c008b6c	CAS Invertebrate Zoology (IZ)		3
10.15468/ktycv2	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	Référentiel taxonomique national (TAXREF) - Inventaire des Collectivités d'outre-mer et de la métropole (ICOM_16) issu des données biogéographiques de TAXREF v16		1
10.15468/0fscv9	fbe1f070-b6e4-11dd-81f6-b8a03c50a862	Naturalis National Natural History Museum (NL) – Invertebrate specimens from marine expeditions		1
10.15468/bxpyo3	58d0f326-2e85-4d0a-a744-571461220f00	University of California Museum of Paleontology		1
10.15468/pnvbgr	1a1fea7c-a319-45b8-8354-c929fd9287e6	Colección del Phylum Cnidaria del Museo de Zoología de la Universidad de Concepción  UCCC_MZUC_CNI	Fuentes-Navarrete M, Toro-Concha C, Navarrete D (2021). Colección del Phylum Cnidaria del Museo de Zoología de la Universidad de Concepción  UCCC_MZUC_CNI. Museo de Zoología de la Universidad de Concepción (MZUC-UCCC). Occurrence dataset https://doi.org/10.15468/pnvbgr accessed via GBIF.org on 2022-04-07.	1
10.15468/90drpi	adb92d68-aaff-47ba-b197-d3d26f72f728	Hexacorallians of the world	Fautin, Daphne G. (2013). Hexacorallians of the World.	96
10.15468/nx4xlz	989f6285-841c-47a4-991b-3d3396427f02	University of Florida Invertebrate Paleontology		8
10.36102/dwc.8	96cdea48-b78a-4345-ae6d-b2c7c6e0278a	NCSM Non-molluscan Invertebrates Collection	Williams, B, McCuller, M, Norton B (2017): NCSM Non-molluscan Invertebrates Collection. North Carolina State Museum of Natural Sciences. Dataset/Occurrence. https://doi.org/10.36102/dwc.8.	2
10.15468/pjmjvn	717b3b87-0ebd-46b4-812b-4a29786798d9	UMZC Zoological Specimens	University Museum of Zoology Cambridge	1
10.15468/eyda6l	56aa0680-0c60-11dd-84cd-b8a03c50a862	Invertebrates Collection of the Swedish Museum of Natural History	Stöhr S (2022). Invertebrates Collection of the Swedish Museum of Natural History. GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/eyda6l accessed via GBIF.org on 2023-03-02.	2
10.5519/0002965	7e380070-f762-11e1-a439-00145eb45e9a	Natural History Museum (London) Collection Specimens	Natural History Museum (2015): Collection specimens https://data.nhm.ac.uk.	4
10.15468/sm6qo6	85b1cfb6-f762-11e1-a439-00145eb45e9a	UF Invertebrate Zoology		10
