gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
609467649																										urn:catalog:CAS:IZ:171668									en	https://creativecommons.org/publicdomain/zero/1.0/																		Physical Object		http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PreservedSpecimen				urn:catalog:CAS:IZ:171668	171668		M.K. Wicksten														Dry-dry(1)								previously identified as Astrangia astraeformis										068811	1998-03-17/19		76	78	1998	3	17	17-19 Mar 1998							donated along with Flower Garden Banks specimens.			North America, North Atlantic Ocean, Gulf of Mexico, United States, Florida	North America				United States		Florida	Lee County		Captiva Island, cast ashore																																																						M.K. Wicksten														Astrangia poculata							Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Rhizangiidae	Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				poculata			species		(Ellis & Solander, 1786)		ICZN			
609414258																										urn:catalog:CAS:IZ:114031									en	https://creativecommons.org/publicdomain/zero/1.0/																		Physical Object		http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PreservedSpecimen				urn:catalog:CAS:IZ:114031	114031		"Chris Mah aboard R/V ""Phillip Parker"""														Fluid-75% EtOH(1)																		051414	1998-08-18		230		1998	8	18	18 Aug 1998	oyster shells						Collected during 3rd North American Echinoderms Conference, Wallops Island, Virginia, 17-20, August 1998.			North America, United States	North America				United States		Virginia			Wallops Island, Cockle Creek						3.0500000000																																																Chris Mah		1998-08-24												Astrangia danae							Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Rhizangiidae	Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				danae			species		Agassiz, 1850		ICZN			
609383736																										urn:catalog:CAS:IZ:99527									en	https://creativecommons.org/publicdomain/zero/1.0/																		Physical Object		http://grscicoll.org/institution/california-academy-sciences	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470		CAS	IZ			PreservedSpecimen				urn:catalog:CAS:IZ:99527	99527																Dry-dry(1)								Spec. notes: many spec.										028062															"Label with ""197"""			North America, United States, Massachusetts	North America				United States		Massachusetts	Barnstable County		Cape Cod, Woods Hole, low tide																																																																				Astrangia danae							Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Rhizangiidae	Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				danae			species		Agassiz, 1850		ICZN			
477946279																										MCZ:IZ:19381													2021-12-06 14:28:37			http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:19381					President and Fellows of Harvard College									b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	IZ		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			{}	MCZ:IZ:19381	19381		RV Albatross IV 97-09		5										unknown	present	whole animal (alcohol)	in collection						station number=309 no. 12												1997-08-08		220		1997	08	08	8/8/1997									http://vocab.getty.edu/tgn/7007517	North America: United States: Massachusetts	North America				United States	US	Massachusetts				USA, Massachusetts,						66.93408						40.9583333333	-68.725	unknown	115000						deg. min. sec.					[no agent data]		unknown	unknown	Lat. seconds and Long. seconds blank in Original Data. Set to 30, Maximum Error set to 115 km. in MCZbase																							Caroline Fleming					"""White, some yellow spots, a green spot"" Colony with bryozoans."									Astrangia poculata (Ellis & Solander, 1786)							Animalia Cnidaria Anthozoa Scleractinia Rhizangiidae Astrangia poculata	Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia	Astrangia			poculata					(Ellis & Solander, 1786)		ICZN			
4054911238																										150437887										http://creativecommons.org/licenses/by-nc/4.0/			2023-03-07T14:34:21Z			https://www.inaturalist.org/observations/150437887					morus-alba												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/150437887	150437887		morus-alba																																	2023-03-05T18:00:00-05:00	18:00:00-05:00						2023-03-05 18:00:00-05:00																US	South Carolina				North Atlantic Ocean, SC, US												33.7679888019	-78.773316278	EPSG:4326	22																																		339187846				Mickle		2023-03-07T03:10:22Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4054784115																										150354104										http://creativecommons.org/licenses/by-nc/4.0/			2023-03-06T04:19:54Z			https://www.inaturalist.org/observations/150354104					nudibranchiaa												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/150354104	150354104		nudibranchiaa																																	2023-03-05T16:33:29-05:00	16:33:29-05:00						2023-03-05 16:33:29-05:00																US	Rhode Island				Bass Rock Rd, Narragansett, RI, US												41.4048799833	-71.4576204609	EPSG:4326	144																																		338872144				Branson Khounvichith		2023-03-05T23:09:41Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4050543312																										e23d4f41-64c2-42da-af99-00ad0f0a1b87																																EB6380B5-80AF-5935-E053-0514A8C08744					HumanObservation				e23d4f41-64c2-42da-af99-00ad0f0a1b87																Présent					TaxREF												e23d4f41-64c2-42da-af99-00ad0f0a1b87																									FRANCE	MQ		Martinique															14.65485	-61.01929	WGS84	26983																																										Probable		994373								Astrangia poculata (Ellis & Solander, 1786)			Astrangia poculata (Ellis & Solander, 1786)	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.				Animalia		Anthozoa	Scleractinia	Rhizangiidae									Species							
4046717327																										18404852										http://creativecommons.org/licenses/by/4.0/			2023-02-23T15:10:23Z			https://www.inaturalist.org/observations/18404852					Lincoln Durey												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18404852	18404852		Lincoln Durey																						Dauphin Island https://www.inaturalist.org/calendar/lincolndurey/2018/11/5											2018-11-05T14:03:58-05:00	14:03:58-05:00						2018-11-05 2:03:58 PM EST																US	Alabama				Agassiz St, Dauphin Island, AL 36528, USA												30.2457199097	-88.0836334229	EPSG:4326																																			39601083				Lincoln Durey		2018-11-15T05:08:49Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4046684323																										18424519										http://creativecommons.org/licenses/by/4.0/			2023-02-23T15:10:23Z			https://www.inaturalist.org/observations/18424519					Lincoln Durey												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18424519	18424519		Lincoln Durey																						Dauphin Island https://www.inaturalist.org/calendar/lincolndurey/2018/11/5											2018-11-05T14:31:56-05:00	14:31:56-05:00						2018-11-05 2:31:56 PM EST																US	Alabama				150 Agassiz St, Dauphin Island, AL 36528, USA												30.2460975647	-88.0779876709	EPSG:4326																																			158231483				joe_fish		2021-03-07T15:59:28Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4046368325																										18424714										http://creativecommons.org/licenses/by/4.0/			2023-02-23T15:10:23Z			https://www.inaturalist.org/observations/18424714					Lincoln Durey												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/18424714	18424714		Lincoln Durey																						Dauphin Island https://www.inaturalist.org/calendar/lincolndurey/2018/11/5											2018-11-05T14:44:30-05:00	14:44:30-05:00						2018-11-05 2:44:30 PM EST																US	Alabama				150 Agassiz St, Dauphin Island, AL 36528, USA												30.2460727692	-88.0793914795	EPSG:4326																																			158231475				joe_fish		2021-03-07T15:59:24Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4046251338																										19389410										http://creativecommons.org/licenses/by/4.0/			2023-02-23T15:10:23Z			https://www.inaturalist.org/observations/19389410					Lincoln Durey												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/19389410	19389410		Lincoln Durey																						Edisto Island, day 3: https://www.inaturalist.org/calendar/lincolndurey/2018/11/20											2018-11-20T11:53:17-05:00	11:53:17-05:00						2018-11-20 11:53:17 AM EST																US	South Carolina				Unnamed Road, Edisto Island, SC 29438, USA												32.5086326599	-80.2888870239	EPSG:4326																																			42415152				Lincoln Durey		2019-01-03T02:42:46Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4046246078																										149679936										http://creativecommons.org/licenses/by/4.0/			2023-02-26T01:13:34Z			https://www.inaturalist.org/observations/149679936					harrier												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/149679936	149679936		harrier																																	2023-02-25T13:23:00-05:00	13:23:00-05:00						2023/02/25 1:23 PM																US	North Carolina				Cape Hatteras National Seashore, Dare, North Carolina, United States												35.2203055556	-75.6568	EPSG:4326	5																																		336760243				harrier		2023-02-25T23:53:41Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4039535505																										149241564										http://creativecommons.org/licenses/by/4.0/			2023-02-20T18:06:26Z			https://www.inaturalist.org/observations/149241564					Gold eagle Kroll												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/149241564	149241564		Gold eagle Kroll																																	2023-02-19T15:36:08-05:00	15:36:08-05:00						2023-02-19 15:36:08																US	Virginia				Norfolk, VA, USA												36.9502102	-76.2421592	EPSG:4326																																			335485324				Gold eagle Kroll		2023-02-20T16:44:45Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4039261160																										149338470										http://creativecommons.org/licenses/by-nc/4.0/			2023-02-21T18:21:20Z			https://www.inaturalist.org/observations/149338470					ianbento												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/149338470	149338470		ianbento																						Round, light in color. Intricate texture in center											2023-02-21T13:07:58-05:00	13:07:58-05:00						2023-02-21 13:07:58-05:00																US	Rhode Island				Atlantic Ave, Westerly, RI, US												41.3293387179	-71.7642251571	EPSG:4326	186																																		335751389				ianbento		2023-02-21T18:10:42Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4034868244																										148477633										http://creativecommons.org/licenses/by-nc/4.0/			2023-02-12T11:43:56Z			https://www.inaturalist.org/observations/148477633					Wayne Longbottom												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/148477633	148477633		Wayne Longbottom																																	2023-02-10T12:30:30-05:00	12:30:30-05:00						2023-02-10 12:30:30 PM EST																US	Delaware				Lewes, DE 19958, USA												38.7899638889	-75.1581027778	EPSG:4326																																			333076249				Wayne Longbottom		2023-02-10T22:34:05Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4034789951																										148399799										http://creativecommons.org/licenses/by/4.0/			2023-02-09T21:44:47Z			https://www.inaturalist.org/observations/148399799					Tyler												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/148399799	148399799		Tyler																																	2023-02-09T10:37:40-05:00	10:37:40-05:00						2023-02-09 10:37:40																US	Massachusetts				Westport, MA 02790, USA												41.4820900083	-71.0376045306	EPSG:4326																																			332849950				Tyler		2023-02-09T19:46:35Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4034784945																										148596814										http://creativecommons.org/licenses/by-nc/4.0/			2023-02-13T13:17:03Z			https://www.inaturalist.org/observations/148596814					Wayne Longbottom												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/148596814	148596814		Wayne Longbottom																																	2023-02-10T12:34:16-05:00	12:34:16-05:00						2023-02-10 12:34:16 PM EST																US	Delaware				Lewes, DE 19958, USA												38.7897333333	-75.15775	EPSG:4326																																			333407137				Wayne Longbottom		2023-02-12T11:45:46Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
4034758576																										148596908										http://creativecommons.org/licenses/by-nc/4.0/			2023-02-13T13:17:08Z			https://www.inaturalist.org/observations/148596908					Wayne Longbottom												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/148596908	148596908		Wayne Longbottom																																	2023-02-10T12:40:33-05:00	12:40:33-05:00						2023-02-10 12:40:33 PM EST																US	Delaware				Lewes, DE 19958, USA												38.7896388889	-75.1574916667	EPSG:4326																																			333407345				Wayne Longbottom		2023-02-12T11:47:31Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
