gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
919322462									NCSM 2849 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection																	B3F08A56-99B4-493E-A1F5-E4CE8A62F261									EN	http://creativecommons.org/publicdomain/zero/1.0/			2019-10-03								North Carolina Museum of Natural Sciences							Physical Object		NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				B3F08A56-99B4-493E-A1F5-E4CE8A62F261	2849		Vince Schneider														skeleton																										06/16/1978											North America				United States		North Carolina	Pitt County																																																								Vince Schneider		1987,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				danae			Species							
919322378									NCSM 2779 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection																	B6A1542C-F356-4B02-9DEA-EDCAC74AD770									EN	http://creativecommons.org/publicdomain/zero/1.0/			2019-10-03								North Carolina Museum of Natural Sciences							Physical Object		NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				B6A1542C-F356-4B02-9DEA-EDCAC74AD770	2779		Vince Schneider														skeleton																										08/06/1987											North America				United States		South Carolina	Horry County																																					Cenozoic	Cenozoic	Quaternary	Quaternary	Pleistocene	Pleistocene							Canepatch FM							Vince Schneider		1987,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				danae			Species							
919321147									NCSM 1498 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection																	C3CDEF4E-879F-4BCA-B777-F574E12E079F									EN	http://creativecommons.org/publicdomain/zero/1.0/			2019-10-03								North Carolina Museum of Natural Sciences							Physical Object		NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				C3CDEF4E-879F-4BCA-B777-F574E12E079F	1498		Horace Richards														skeleton								See Davis notes drawer 32#8																		05/30/1941											North America				United States		North Carolina	Columbus County																																					Cenozoic	Cenozoic	Neogene	Neogene	Pliocene	Pliocene							Duplin FM							Vince Schneider		1986,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				danae			Species							
919321146									NCSM 1499 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection																	2B25221B-4D3F-47EE-9691-ED529F2C1C20									EN	http://creativecommons.org/publicdomain/zero/1.0/			2019-10-03								North Carolina Museum of Natural Sciences							Physical Object		NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				2B25221B-4D3F-47EE-9691-ED529F2C1C20	1499		Horace Richards														skeleton								See Davis notes drawer 32#8																		05/30/1941											North America				United States		North Carolina	Columbus County																																					Cenozoic	Cenozoic	Neogene	Neogene	Pliocene	Pliocene							Duplin FM							Vince Schneider		1986,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				danae			Species							
919321122									NCSM 1497 - North Carolina Museum of Natural Sciences Invertebrate Paleontology Collection																	94B817F0-2B9E-4AB7-A404-C38260BE076D									EN	http://creativecommons.org/publicdomain/zero/1.0/			2019-10-03								North Carolina Museum of Natural Sciences							Physical Object		NCSM	NCSM-InvertPaleo	NCSM-InvertPaleoDWC	NCSM	NCSM-InvertPaleo	NCSM Invertebrate Paleontology Collection	NCSM	FossilSpecimen				94B817F0-2B9E-4AB7-A404-C38260BE076D	1497		Horace Richards														skeleton								See Davis notes drawer 32#8																		05/30/1941											North America				United States		North Carolina	Columbus County																																					Cenozoic	Cenozoic	Neogene	Neogene	Pliocene	Pliocene							Duplin FM							Vince Schneider		1986,												Astrangia danae								Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				danae			Species							
899943805																										494840										http://creativecommons.org/licenses/by-nc/4.0/			2017-09-25T19:40:13Z			https://www.inaturalist.org/observations/494840					Stephanie Marsh												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/494840	494840		Stephanie Marsh																																	2014-01-04							2014-01-04																US	Texas				Galveston, Texas												29.196377	-94.947324	EPSG:4326	231																																		1133663				Gustav Paulay	https://orcid.org/0000-0003-4118-9797	2014-04-26T08:45:21Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
899637064																										96A68432-AF11-437A-831E-7E016D92CEDC													2021-04-27 19:07:52																				UF	Invertebrate Zoology			PreservedSpecimen			project=DigIn	96A68432-AF11-437A-831E-7E016D92CEDC	7596-Cnidaria																dry - 1																		FLMNH Inv. Paleo. 12159																ecdfa29b-07cb-11e6-90fb-946024916d6e		USA, Florida, Collier County	North America				USA		Florida	Collier County		Marco																																																																				Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				poculata					(Ellis & Solander 1786)					
891090242																										104906										http://creativecommons.org/licenses/by-nc/4.0/			2023-01-15T21:20:35Z			https://www.inaturalist.org/observations/104906					cyric												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/104906	104906		cyric						adult																Some Northern Star Coral on the rocks of the Pt. Judith Harbor of Refuge breakwater.											2012-07-17							2012-07-17																US	Rhode Island				East Matunuck, RI												41.3712020031	-71.5160842793	EPSG:4326	106																																		154826				cyric		2012-07-24T01:57:17Z				94745								Astrangia poculata								Animalia	Cnidaria	Anthozoa	Scleractinia	Astrangiidae		Astrangia							species							
864852663		Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj							Astrangia poculata (YPM IZ 066771)																	urn:uuid:c708f508-7ec8-4d69-a06c-2dace680379e										http://creativecommons.org/publicdomain/zero/1.0/			2017-06-19T23:23:22.000Z			http://collections.peabody.yale.edu/search/Record/YPM-IZ-066771					Yale Peabody Museum											0	YPM	IZ		YPM	PreservedSpecimen			"{ ""irn"": ""1526651"", ""solr_long_lat"": ""-73.102919,41.155297"" }"	urn:uuid:c708f508-7ec8-4d69-a06c-2dace680379e	YPM IZ 066771		Strength in Numbers Workshop (2013)		1												dry	in collection							IZ number 66771; lot count 1					Astrangia poculata						2013-07-16				2013	7	16											North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; Fairfield County; Stratford, Stratford Point	North America	Atlantic Ocean; Long Island Sound			USA		Connecticut	Fairfield County	Stratford, Stratford Point														41.155297	-73.102919																																																						Astrangia poculata							Animalia; Cnidaria; Anthozoa; Zoantharia; Scleractinia; Faviina; Faviicae; Rhizangiidae	Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia				poculata			Species		(Ellis & Solander, 1786)	stony corals; zoanthids; stony corals and anemones; cnidarians; animals	ICZN			Animals and Plants: Invertebrates - Other
699109936																										MCZ:IZ:SCOR-211													2022-02-09 17:19:53			http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:SCOR-211					President and Fellows of Harvard College									b4640710-8e03-11d8-b956-b8a03c50a862			MCZ	IZ		Museum of Comparative Zoology, Harvard University	PreservedSpecimen			{}	MCZ:IZ:SCOR-211	SCOR-211		Louis Agassiz	http://viaf.org/viaf/14832040	1										verified by MCZ collection	present	whole animal (70% ethanol)	in collection																		1847-01-01/1853-12-31		1		1847	01	01	1847-1853										Atlantic Ocean: Atlantic, Western Central: United States: South Carolina		Atlantic, Western Central			United States	US	South Carolina			Charleston	Charleston, S.C.												32.754788	-79.867144	WGS84	7016						decimal degrees					Penny Benson		GEOLocate	GEOLocate																								Caroline Fleming					Entered into Catalogue 31.i.1863 7 pieces, in ethanol Sampled for DNA 25.v.2001, Andrew Baker									Astrangia poculata (Ellis & Solander, 1786)							Animalia Cnidaria Anthozoa Scleractinia Rhizangiidae Astrangia poculata	Animalia	Cnidaria	Anthozoa	Scleractinia	Rhizangiidae		Astrangia	Astrangia			poculata					(Ellis & Solander, 1786)		ICZN			
