Year ,Publications,FocalArea,Citations
1925,1,Life History,Boschma 
1947,1,Habitat,Pearse
1967,1,Habitat,Driscoll
1976,1,Life History,Mariscal et al. 
1977,1,Life History,Hayes & Goreau
1980,1,Life History,"Szmant-Froelich, Yevich, & Pilson"
1980,2,Life History & Symbiosis,Jacques & Pilson; Szmant-Froelich & Pilson
1981,1,Life History,Szmant-Froelich
1982,1,Symbiosis,Cummings & McCarty
1983,1,"Habitat, Life History & Symbiosis","Jacques, Marshall, & Pilson "
1984,1,Life History,Szmant-Froelich & Pilson
1985,1,Life History & Symbiosis,Peters & Pilson
1985,1,Habitat,Woodhead & Jacobson
1988,1,"Geographic Range, Habitat & Symbiosis ",Peters et al. 
1990,1,Life History,Szmant et al. 
1997,1,Life History,Fitzgerald & Szmant
2002,1,Symbiosis,Cohen et al.
2007,1,Habitat,Daley et al. 
2007,1,"Geographic Range, Life History & Symbiosis ",Dimond & Carrington
2008,1,Life History & Symbiosis,Dimond & Carrington
2008,1,Symbiosis,Thornhill et al. 
2010,1,Life History,"Holcomb, McCorkle, & Cohen"
2011,1,Life History,Ries
2012,1,Life History & Symbiosis,"Holcomb, Cohen, & McCorkle"
2012,1,Symbiosis,"LaJeunesse, Parkinson, & Reimer"
2013,1,Geographic Range & Habitat,Dimond et al. 
2013,1,Life History,Saenger et al. 
2014,1,Habitat,Stefaniak et al. 
2015,1,Geographic Range & Habitat,Perrault et al. 
2016,1,Symbiosis,DeFilippi et al. 
2016,1,Life History,Schoepf et al. 
2017,1,Life History,Allen et al. 
2017,1,Symbiosis,Burmester et al. 
2017,1,Habitat & Life History,Grace
2017,1,Microbiome ,Sharp et al. 
2018,1,Life History & Symbiosis,Burmester et al. 
2018,1,Habitat,Grace & Patrizzi
2018,1,Geographic Range,Hoeksema et al. 
2019,2,Life History,Aichelman et al.; Rotjan et al. 
2019,1,Microbiome ,Goldsmith et al. 
2019,1,Habitat,Schweitzer & Stevens
2020,1,Genomics & Transcriptomics ,Aichelman & Barshis
2021,2,Life History,"DiRoberts et al.; Trumbauer, Grace, & Rodrigues"
2021,1,Microbiome ,Bent et al. 
2021,1,Genomics & Transcriptomics ,Wuitchik et al. 
2022,1,Microbiome ,Brown et al. 
2022,2,Symbiosis,Changsut et al.; Harman et al. 
2022,1,Life History & Symbiosis,Dellaert et al. 
2022,1,Life History,"Trumbauer, Grace, & Rodrigues"
2023,1,Life History,Glass et al. 
