id,dataset_id,decimallongitude,decimallatitude,date_start,date_mid,date_end,date_year,scientificname,originalscientificname,minimumdepthinmeters,maximumdepthinmeters,depth,coordinateuncertaintyinmeters,flags,dropped,absence,shoredistance,bathymetry,sst,sss,marine,brackish,freshwater,terrestrial,taxonrank,aphiaid,redlist_category,superdomain,domain,kingdom,subkingdom,infrakingdom,phylum,phylum_division,subphylum_subdivision,subphylum,infraphylum,parvphylum,gigaclass,megaclass,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,series,species,subspecies,natio,variety,subvariety,forma,subforma,type,modified,language,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,materialsampleid,occurrenceid,catalognumber,occurrenceremarks,recordnumber,recordedby,recordedbyid,individualcount,organismquantity,organismquantitytype,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,othercatalognumbers,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,eventid,parenteventid,samplingprotocol,samplesizevalue,samplesizeunit,samplingeffort,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,fieldnumber,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,verbatimelevation,minimumelevationinmeters,maximumelevationinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,geodeticdatum,coordinateprecision,pointradiusspatialfit,footprintwkt,footprintsrs,footprintspatialfit,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identifiedby,identifiedbyid,dateidentified,identificationreferences,identificationremarks,identificationqualifier,identificationverificationstatus,typestatus,taxonid,scientificnameid,acceptednameusageid,parentnameusageid,originalnameusageid,nameaccordingtoid,namepublishedinid,taxonconceptid,acceptednameusage,parentnameusage,originalnameusage,nameaccordingto,namepublishedin,namepublishedinyear,higherclassification,specificepithet,infraspecificepithet,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,nomenclaturalstatus,taxonremarks
804c04ac-4151-4b64-8d29-b1aa2be14475,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-94.1317977905,18.211057663,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,"{DEPTH_EXCEEDS_BATH,ON_LAND}",0,0,-240,-7,26.97,34.87,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_E1,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,SSW  Gulf of Mexico,,,,,0-263,,,,,,,,,,,542540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
6565f655-7492-4294-867e-aaf71b7f53d7,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-82.6907272339,27.4702758789,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{DEPTH_EXCEEDS_BATH},0,0,42,-4,24.73,36,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_B1,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,ENE Gulf of Mexico,,,,,0-263,,,,,,,,,,,349800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
7187ba17-c886-40d1-9bb5-ca6ae11c9e17,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-97.7937316895,22.279958725,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{DEPTH_EXCEEDS_BATH},0,0,175,-2,25.87,35.47,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_F1,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,WSW  Gulf of Mexico,,,,,0-263,,,,,,,,,,,305390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
7b970747-eec9-4d4e-a1ae-dd9e94ff9fa4,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-82.3406906128,24.7805652618,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{DEPTH_EXCEEDS_BATH},0,0,28843,26,26.37,36.14,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_C2,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,ESE  Gulf of Mexico,,,,,0-263,,,,,,,,,,,195770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
494f0a8d-3358-4809-96fd-2365781d98f7,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-87.1689300537,29.4725894928,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{},0,0,94218,421,24.97,33.3,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_A4,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,NNE Gulf of Mexico,,,,,0-263,,,,,,,,,,,336520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
f7f133ae-f354-4700-a520-0ed3b3679f5a,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-88.9384689331,23.2547931671,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{DEPTH_EXCEEDS_BATH},0,0,116921,78,26.89,36.28,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_D3,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,SSE  Gulf of Mexico,,,,,0-263,,,,,,,,,,,313300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
521c517d-76e0-4346-8cae-d3cdb44c7014,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-89.180305481,23.6420974731,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{},0,0,137475,299,26.82,36.28,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_D4,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,SSE  Gulf of Mexico,,,,,0-263,,,,,,,,,,,371780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
975b3784-72b7-4aaf-9d27-b8c8a3a7682f,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-93.5104827881,19.2420463562,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{},0,0,90706,662,27.14,35.31,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_E4,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,SSW  Gulf of Mexico,,,,,0-263,,,,,,,,,,,589010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
71e620eb-e9bb-4798-92c0-0f17dbfb199c,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-82.887260437,23.0251464844,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{DEPTH_EXCEEDS_BATH},0,0,466,126,27.69,35.98,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_C1,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,ESE  Gulf of Mexico,,,,,0-263,,,,,,,,,,,249350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
aa69f0fb-f269-455a-a0ed-a67d9a862a11,d1001fdc-d4a2-4d01-bcd2-2e122f2ca537,-97.3125076294,22.4503555298,,,,,Astrangia poculata,Astrangia poculata,0,263,131.5,,{},0,0,51565,754,26.42,36.01,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,"Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/",,,,,HRI,B89PII,,,HumanObservation,,,,,,Spp-14-040_F4,Database description and disclaimer at: http://gulfbase.org/,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang. 2009. Scleractinia (Cnidaria) of the Gulf of Mexico, Pp. 333-347.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gulf of Mexico,,,,,,,,WSW  Gulf of Mexico,,,,,0-263,,,,,,,,,,,304280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cairns, S. D., W. C. Jaap, and J. C. Lang",,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"Ellis and Solander, 1786",,,,,
