id,dataset_id,decimallongitude,decimallatitude,date_start,date_mid,date_end,date_year,scientificname,originalscientificname,minimumdepthinmeters,maximumdepthinmeters,coordinateuncertaintyinmeters,flags,dropped,absence,shoredistance,bathymetry,sst,sss,marine,brackish,freshwater,terrestrial,taxonrank,aphiaid,redlist_category,superdomain,domain,kingdom,subkingdom,infrakingdom,phylum,phylum_division,subphylum_subdivision,subphylum,infraphylum,parvphylum,gigaclass,megaclass,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,series,species,subspecies,natio,variety,subvariety,forma,subforma,type,modified,language,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,materialsampleid,occurrenceid,catalognumber,occurrenceremarks,recordnumber,recordedby,recordedbyid,individualcount,organismquantity,organismquantitytype,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,othercatalognumbers,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,eventid,parenteventid,samplingprotocol,samplesizevalue,samplesizeunit,samplingeffort,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,fieldnumber,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,verbatimelevation,minimumelevationinmeters,maximumelevationinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,geodeticdatum,coordinateprecision,pointradiusspatialfit,footprintwkt,footprintsrs,footprintspatialfit,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identifiedby,identifiedbyid,dateidentified,identificationreferences,identificationremarks,identificationqualifier,identificationverificationstatus,typestatus,taxonid,scientificnameid,acceptednameusageid,parentnameusageid,originalnameusageid,nameaccordingtoid,namepublishedinid,taxonconceptid,acceptednameusage,parentnameusage,originalnameusage,nameaccordingto,namepublishedin,namepublishedinyear,higherclassification,specificepithet,infraspecificepithet,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,nomenclaturalstatus,taxonremarks
f6cacd49-d6f1-4c02-8ab3-e38f41995318,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.6500015259,41.5699996948,-1909267200000,-1909267200000,-1909267200000,1909,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,136,3,12.22,31.39,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,5026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909-07-02T12:00:00Z,,,,1909,,,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
a8adc7dd-e97d-4aa0-ace0-700cd6a4d53f,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.6500015259,41.4799995422,-2067033600000,-2067033600000,-2067033600000,1904,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,1959,15,12.33,31.42,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,4864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904-07-02T00:00:00Z,,,,1904,,,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
d9caf6d6-0f8f-42cc-b88a-eb342533f52c,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.7300033569,41.4599990845,-2032128000000,-2032128000000,-2032128000000,1905,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,2306,19,12.35,31.38,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,4931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905-08-10T12:00:00Z,,,,1905,8,10,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
0311d87a-22b0-40cf-8985-49278bd83388,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.8700027466,41.4900016785,-1909267200000,-1909267200000,-1909267200000,1909,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,4541,16,12.49,31.35,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,4960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909-07-02T12:00:00Z,,,,1909,,,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
a44d8059-a60f-4dac-8331-b2b64106cfff,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.6900024414,41.4599990845,-2095545600000,-2095545600000,-2095545600000,1903,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,2065,7,12.35,31.38,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903-08-07T12:00:00Z,,,,1903,8,7,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
b542d2fe-6df0-4286-b9bd-1040fa3f34c0,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.6699981689,41.5099983215,-2066688000000,-2066688000000,-2066688000000,1904,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,498,5,12.3,31.35,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904-07-06T12:00:00Z,,,,1904,7,6,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
107abb23-cca8-4127-8d59-49d898ca9180,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.7300033569,41.4399986267,-2095113600000,-2095113600000,-2095113600000,1903,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,2500,12,12.35,31.38,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,4888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903-08-12T12:00:00Z,,,,1903,8,12,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
9c2cba12-1544-46b0-85b4-b7ca8361f2fa,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.8199996948,41.4399986267,-2064960000000,-2064960000000,-2064960000000,1904,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,609,13,12.43,31.37,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,4983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904-07-26T12:00:00Z,,,,1904,7,26,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
fc598220-7ddf-4e39-9adf-c6a38025b6e5,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.7300033569,41.6199989319,-1909267200000,-1909267200000,-1909267200000,1909,Astrangia poculata,Astrangia poculata,,,,{NO_DEPTH},f,f,3723,9,12.26,31.37,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,4957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909-07-02T12:00:00Z,,,,1909,,,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
811068da-5125-4eeb-9b37-04d9a267a248,5ad6c4ff-fb89-4edf-b7b0-212671fb27cf,-70.8300018311,41.4500007629,-1909267200000,-1909267200000,-1909267200000,1909,Astrangia poculata,Astrangia poculata,,,,"{NO_DEPTH,ON_LAND}",f,f,-724,6,12.43,31.37,1,,0,0,Species,157967,,Biota,,Animalia,,,Cnidaria,,,,,,,,,Anthozoa,Hexacorallia,,,,Scleractinia,,,,,Astrangiidae,,,,,Astrangia,,,,,Astrangia poculata,,,,,,,,,,,,,,,,,,WoodsHoleBioSurvey,A Biological Survey of the Waters of Woods Hole and Vacinity,,,HumanObservation,,,,,,5025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909-07-02T12:00:00Z,,,,1909,,,,,,,,,,,,,,,United States of America,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:lsid:marinespecies.org:taxname:157967,,,,,,,,,,,,,,,,,"(Ellis and Solander, 1786)",,,,,
